Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,4053,192,192,194,196,200,188,346,0.00%,5.2,.5,3.66
HTTP Request,3990,195,195,199,200,205,189,348,0.00%,5.1,.5,3.96
HTTP Request,3937,197,197,201,204,213,192,342,0.00%,5.0,.5,4.49
HTTP Request,3999,194,194,200,203,209,189,352,0.00%,5.1,.5,4.79
HTTP Request,3936,197,197,204,206,214,190,335,0.00%,5.0,.5,5.22
HTTP Request,4025,193,193,197,200,205,189,353,0.00%,5.2,.5,4.08
HTTP Request,4045,192,192,195,197,201,188,339,0.00%,5.2,.5,3.41
HTTP Request,4029,193,193,196,198,202,189,338,0.00%,5.2,.5,3.40
HTTP Request,4030,193,193,197,199,205,188,345,0.00%,5.2,.5,4.13
HTTP Request,3976,196,194,204,207,217,189,337,0.00%,5.1,.5,6.23
