Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,1137956,0,1,1,1,2,0,339,0.00%,1459.2,141.0,0.80, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613631"
HTTP Request,2124051,0,0,1,1,2,0,43,0.00%,2723.5,263.2,0.61, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613640"
HTTP Request,2027487,0,0,1,1,2,0,1034,0.00%,2599.8,251.2,1.25, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613641"
HTTP Request,1117305,0,1,1,1,2,0,3315,0.00%,1432.7,138.4,3.25, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613642"
HTTP Request,1284196,0,1,1,1,2,0,318,0.00%,1646.6,159.1,0.82, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613643"
HTTP Request,1967366,0,0,1,1,2,0,538,0.00%,2522.6,243.8,0.79, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613644"
HTTP Request,1272966,0,1,1,1,3,0,100,0.00%,1632.3,157.7,0.72, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613645"
HTTP Request,1918358,0,0,1,1,2,0,681,0.00%,2459.8,237.7,0.86, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613646"
HTTP Request,1495330,0,0,1,1,2,0,212,0.00%,1917.4,185.3,0.82, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613647"
HTTP Request,1688001,0,0,1,1,2,0,208,0.00%,2164.4,209.1,0.71, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613632"
HTTP Request,1785050,0,0,1,1,2,0,1010,0.00%,2288.8,221.2,0.98, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613633"
HTTP Request,1265244,0,1,1,1,3,0,520,0.00%,1622.3,156.8,0.88, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613634"
HTTP Request,1099032,0,1,1,1,3,0,10012,0.00%,1409.2,136.2,9.58,"https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613635"
HTTP Request,757882,1,1,2,2,3,0,206,0.00%,971.8,93.9,0.88, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613636"
HTTP Request,2033896,0,0,1,1,2,0,35,0.00%,2607.9,252.0,0.59, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613637"
HTTP Request,481700,1,2,2,2,4,0,46,0.00%,617.6,59.7,0.70, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613638"
HTTP Request,1136147,0,1,1,1,3,0,161,0.00%,1456.8,140.8,0.71, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358100630/artifacts/114613639"
