Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,1956474,0,0,1,1,3,0,1006,0.00%,2508.7,242.4,0.93
HTTP Request,1713507,0,0,1,1,3,0,56,0.00%,2197.1,212.3,0.68
HTTP Request,1727275,0,0,1,1,2,0,47,0.00%,2214.7,214.0,0.67
HTTP Request,1832605,0,0,1,1,2,0,215,0.00%,2349.8,227.1,0.59
HTTP Request,1978327,0,0,1,1,3,0,1013,0.00%,2536.7,245.1,0.95
HTTP Request,1982627,0,0,1,1,2,0,245,0.00%,2542.2,245.7,0.68
HTTP Request,1294214,0,1,1,1,3,0,209,0.00%,1659.5,160.4,0.83
HTTP Request,1451516,0,0,1,1,3,0,61,0.00%,1861.2,179.8,0.72
HTTP Request,1662183,0,0,1,1,3,0,26,0.00%,2131.3,205.9,0.65
HTTP Request,1680124,0,0,1,1,3,0,23,0.00%,2154.3,208.2,0.67
HTTP Request,1640564,0,0,1,1,3,0,25,0.00%,2103.6,203.3,0.72
