Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,1849645,0,0,1,1,2,0,33,0.00%,2371.7,229.2,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319749"
HTTP Request,1822754,0,0,1,1,2,0,3050,0.00%,2337.2,225.8,2.39, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319758"
HTTP Request,1815976,0,0,1,1,2,0,3041,0.00%,2328.5,225.0,2.47, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319759"
HTTP Request,1790651,0,0,1,1,2,0,1026,0.00%,2296.0,221.9,1.00, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319760"
HTTP Request,1789318,0,0,1,1,2,0,3024,0.00%,2294.3,221.7,2.35, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319761"
HTTP Request,1795598,0,0,1,1,2,0,3029,0.00%,2302.3,222.5,3.56, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319762"
HTTP Request,1863181,0,0,1,1,2,0,1027,0.00%,2389.0,230.9,0.98, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319763"
HTTP Request,1817375,0,0,1,1,2,0,3043,0.00%,2330.3,225.2,2.46, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319764"
HTTP Request,1876116,0,0,1,1,2,0,1027,0.00%,2405.6,232.5,0.98, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319765"
HTTP Request,1922005,0,0,1,1,2,0,1042,0.00%,2464.5,238.1,0.98, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319750"
HTTP Request,1920100,0,0,1,1,2,0,164,0.00%,2462.0,237.9,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319751"
HTTP Request,1710305,0,0,1,1,2,0,10011,0.00%,2193.0,211.9,10.85, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319752"
HTTP Request,1630663,0,0,1,1,3,0,4922,0.00%,2090.9,202.0,4.16, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319753"
HTTP Request,1650886,0,0,1,1,3,0,51,0.00%,2116.8,204.6,0.65, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319754"
HTTP Request,1673579,0,0,1,1,3,0,326,0.00%,2145.9,207.4,0.72, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319755"
HTTP Request,1648028,0,0,1,1,3,0,610,0.00%,2113.2,204.2,0.82, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319756"
HTTP Request,1650479,0,0,1,1,3,0,27,0.00%,2116.3,204.5,0.66, "https://github.com/xlight05/ballerina-performance-cloud/suites/4378221630/artifacts/115319757"
