Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,3464760,0,0,1,1,1,0,1023,0.00%,4442.4,429.3,0.84
HTTP Request,3117965,0,0,1,1,2,0,1034,0.00%,3997.8,386.3,0.84
HTTP Request,2994603,0,0,1,1,2,0,207,0.00%,3839.7,371.0,0.58
HTTP Request,3070579,0,0,1,1,2,0,205,0.00%,3937.0,380.4,0.50
HTTP Request,3578854,0,0,1,1,1,0,1015,0.00%,4588.7,443.4,0.89
HTTP Request,3006187,0,0,1,1,2,0,207,0.00%,3854.4,372.5,0.53
HTTP Request,3190610,0,0,1,1,2,0,16,0.00%,4090.9,395.3,0.52
HTTP Request,2857130,0,0,1,1,2,0,34,0.00%,3663.3,354.0,0.54
HTTP Request,2759796,0,0,1,1,2,0,1032,0.00%,3538.5,341.9,0.85
HTTP Request,3015893,0,0,1,1,2,0,19,0.00%,3866.9,373.7,0.51
HTTP Request,2763755,0,0,1,1,2,0,1014,0.00%,3543.6,342.4,0.83
HTTP Request,2928636,0,0,1,1,2,0,205,0.00%,3755.0,362.9,0.53
HTTP Request,3087505,0,0,1,1,2,0,207,0.00%,3958.7,382.5,0.51
HTTP Request,2989682,0,0,1,1,2,0,19,0.00%,3833.3,370.4,0.53
HTTP Request,3120766,0,0,1,1,2,0,1031,0.00%,4001.3,386.7,0.79
HTTP Request,2844588,0,0,1,1,2,0,206,0.00%,3647.2,352.4,0.56
