Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,835786,0,1,1,1,2,0,9,0.00%,1071.6,103.6,0.34
HTTP Request,447601,1,2,2,2,3,1,210,0.00%,573.9,55.5,1.05
HTTP Request,447742,1,2,2,2,3,1,210,0.00%,574.1,55.5,1.05
HTTP Request,444149,1,2,2,2,4,1,1011,0.00%,569.5,55.0,2.00
HTTP Request,447006,1,2,2,2,3,1,1012,0.00%,573.1,55.4,1.89
HTTP Request,448269,1,2,2,2,3,1,209,0.00%,574.8,55.5,0.85
HTTP Request,828064,0,1,1,1,2,0,205,0.00%,1061.7,102.6,0.54
HTTP Request,828386,0,1,1,1,2,0,208,0.00%,1062.1,102.6,0.50
HTTP Request,449945,1,2,2,2,3,1,458,0.00%,576.9,55.7,1.21
HTTP Request,447597,1,2,2,2,3,1,210,0.00%,573.9,55.5,1.04
