Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,515406,1,1,2,2,3,1,209,0.00%,660.9,63.9,0.61
HTTP Request,1395028,0,1,1,1,1,0,209,0.00%,1788.7,172.8,0.63
HTTP Request,1541519,0,0,1,1,1,0,208,0.00%,1976.6,191.0,0.60
HTTP Request,508613,1,2,2,2,3,1,208,0.00%,652.2,63.0,0.79
HTTP Request,1755940,0,0,1,1,1,0,16,0.00%,2251.5,217.6,0.52
HTTP Request,513651,1,1,2,2,3,1,1005,0.00%,658.6,63.6,1.55
HTTP Request,504303,1,2,2,2,3,1,209,0.00%,646.6,62.5,0.99
HTTP Request,515025,1,1,2,2,3,1,209,0.00%,660.4,63.8,1.02
HTTP Request,492558,1,2,2,2,3,1,210,0.00%,631.6,61.0,1.45
HTTP Request,505133,1,2,2,2,3,1,209,0.00%,647.7,62.6,0.79
HTTP Request,515000,1,1,2,2,3,1,207,0.00%,660.4,63.8,0.73
HTTP Request,493022,1,2,2,2,3,1,210,0.00%,632.2,61.1,1.51
HTTP Request,1543217,0,0,1,1,1,0,208,0.00%,1978.8,191.2,0.70
HTTP Request,492770,1,2,2,2,3,1,211,0.00%,631.9,61.1,1.73
HTTP Request,1531223,0,0,1,1,1,0,209,0.00%,1963.4,189.7,0.80
