Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10169537,5,1,6,62,71,0,113,0.00%,9416.5,1415.7,15.71
HTTP Request,11231194,5,1,5,59,69,0,103,0.00%,10399.9,1563.5,14.76
HTTP Request,10497718,5,1,6,61,70,0,108,0.00%,9720.9,1461.5,15.30
HTTP Request,11399533,5,1,5,58,68,0,103,0.00%,10555.2,1586.9,14.58
HTTP Request,11221998,5,1,5,59,69,0,106,0.00%,10391.5,1562.3,14.75
HTTP Request,11449830,5,1,5,58,69,0,112,0.00%,10601.8,1593.9,14.63
HTTP Request,10660908,5,1,6,60,69,0,116,0.00%,9872.1,1484.2,15.09
HTTP Request,11952173,5,1,5,56,69,0,105,0.00%,11067.1,1663.9,14.39
HTTP Request,11336098,5,1,5,59,69,0,110,0.00%,10497.2,1578.2,14.81
HTTP Request,11309218,5,1,5,59,69,0,111,0.00%,10472.4,1574.4,14.78
HTTP Request,11427360,5,1,5,58,68,0,114,0.00%,10581.6,1590.9,14.55
HTTP Request,11305725,5,1,5,59,69,0,100,0.00%,10469.2,1574.0,14.69
HTTP Request,10772431,5,1,5,60,69,0,114,0.00%,9975.1,1499.7,15.08
HTTP Request,11320116,5,1,5,58,69,0,112,0.00%,10482.3,1575.9,14.65
HTTP Request,11980664,5,1,4,57,69,0,114,0.00%,11094.0,1667.9,14.37
