Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,11079259,5,1,5,60,70,0,102,0.00%,10259.2,1542.4,14.95
HTTP Request,10812270,5,1,5,60,69,0,103,0.00%,10011.5,1505.1,15.03
HTTP Request,11689515,5,1,5,58,69,0,108,0.00%,10824.6,1627.4,14.54
HTTP Request,11550701,5,1,5,57,69,0,112,0.00%,10695.8,1608.0,14.52
HTTP Request,10856128,5,1,5,60,69,0,108,0.00%,10052.9,1511.4,15.01
HTTP Request,11047333,5,1,5,60,69,0,114,0.00%,10229.9,1538.0,14.94
HTTP Request,11397953,5,1,5,59,69,0,109,0.00%,10554.6,1586.8,14.68
HTTP Request,10746672,5,1,5,60,69,0,114,0.00%,9951.0,1496.0,15.08
HTTP Request,11572275,5,1,5,58,68,0,102,0.00%,10715.2,1610.9,14.52
HTTP Request,11178566,5,1,5,59,69,0,107,0.00%,10351.2,1556.2,14.80
HTTP Request,10849898,5,1,5,60,69,0,109,0.00%,10046.5,1510.4,15.02
HTTP Request,11120943,5,1,5,59,69,0,113,0.00%,10297.4,1548.1,14.88
HTTP Request,11229727,5,1,5,59,69,0,103,0.00%,10398.6,1563.3,14.81
HTTP Request,10924825,5,1,5,60,69,0,108,0.00%,10116.5,1520.9,14.97
HTTP Request,12293670,4,1,4,54,68,0,101,0.00%,11383.7,1711.4,14.06
HTTP Request,11295182,5,1,5,59,69,0,109,0.00%,10459.2,1572.4,14.73
HTTP Request,11287481,5,1,5,59,69,0,107,0.00%,10452.3,1571.4,14.75
HTTP Request,11308360,5,1,5,59,69,0,111,0.00%,10471.5,1574.3,14.66
HTTP Request,11191193,5,1,5,60,69,0,104,0.00%,10362.3,1557.9,14.89
HTTP Request,11278840,5,1,5,59,69,0,114,0.00%,10443.5,1570.1,14.77
HTTP Request,11236934,5,1,5,59,69,0,111,0.00%,10405.2,1564.3,14.80
HTTP Request,11114250,5,1,5,59,69,0,127,0.00%,10291.1,1547.2,14.81
HTTP Request,11312290,5,1,5,59,69,0,103,0.00%,10475.0,1574.8,14.80
HTTP Request,11364879,5,1,5,58,69,0,172,0.00%,10523.8,1582.2,14.71
