Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,3717,209,209,214,216,226,202,413,0.00%,4.8,.5,5.60,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191462"
HTTP Request,3697,210,210,215,217,223,204,390,0.00%,4.7,.5,4.82,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191470"
HTTP Request,3694,210,210,216,218,224,203,409,0.00%,4.7,.5,5.23,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191471"
HTTP Request,3699,210,210,215,217,223,204,410,0.00%,4.7,.5,5.25,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191472"
HTTP Request,3692,210,210,215,218,226,203,395,0.00%,4.7,.5,5.22,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191473"
HTTP Request,3694,210,210,216,218,224,203,377,0.00%,4.7,.5,5.24,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191474"
HTTP Request,3685,211,210,216,219,226,204,381,0.00%,4.7,.5,5.25,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191475"
HTTP Request,3705,210,210,214,216,222,203,403,0.00%,4.8,.5,4.83,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191476"
HTTP Request,3686,211,210,216,218,226,204,372,0.00%,4.7,.5,5.00,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191477"
HTTP Request,3693,210,210,215,218,223,203,674,0.00%,4.7,.5,9.71,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191463"
HTTP Request,3695,210,210,215,217,224,204,405,0.00%,4.7,.5,5.16,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191464"
HTTP Request,3702,210,210,215,217,222,203,398,0.00%,4.7,.5,4.84,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191465"
HTTP Request,3673,212,211,216,218,226,205,390,0.00%,4.7,.5,4.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191466"
HTTP Request,3673,212,211,217,219,226,204,395,0.00%,4.7,.5,5.27,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191467"
HTTP Request,3687,211,210,216,219,227,204,381,0.00%,4.7,.5,5.09,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191468"
HTTP Request,3707,210,209,214,217,225,203,409,0.00%,4.8,.5,5.42,"https://github.com/xlight05/ballerina-performance-cloud/suites/4449777717/artifacts/118191469"
